run_number	pmt_id	pedestal	gain
100070	5	4090.190	4502.980
100070	6	5616.600	5892.480
100070	7	3716.370	4034.180
100070	8	6006.340	6279.200
100070	9	4926.990	3268.600
100071	0	5822.550	6116.080
100071	1	5781.590	6097.610
100071	2	6380.590	6707.920
100071	3	3794.530	4108.560
100071	4	6256.020	6603.220
100071	5	4101.690	4483.150
100071	6	5624.590	5895.060
100071	7	3711.190	4045.540
100071	8	6013.540	6327.430
100071	9	4933.610	5213.620
100072	0	5818.740	6151.590
100072	1	5787.810	6090.520
100072	2	6370.570	6696.500
100072	3	3795.450	4116.100
100072	4	6256.070	6595.270
100072	5	4096.690	4457.380
100072	6	5620.990	5884.090
100072	7	3710.660	4034.050
100072	8	6007.960	6282.290
100072	9	4930.030	5187.730
100073	0	5813.700	6127.800
100073	1	5771.490	6072.630
100073	2	6369.770	6682.590
100073	3	3786.030	4085.240
100073	4	6249.830	6588.930
100073	5	4093.420	4486.200
100073	6	5612.500	5880.050
100073	7	3699.560	4024.480
100073	8	6003.140	6289.160
100073	9	4915.780	5051.270
100074	0	5804.550	6107.310
100074	1	5761.260	6077.730
100074	2	6365.080	6673.590
100074	3	3786.670	4093.770
100074	4	6245.890	6595.080
100074	5	4093.840	4467.260
100074	6	5602.850	5865.460
100074	7	3692.050	4000.800
100074	8	5995.580	6277.930
100074	9	4905.690	5077.630
100075	0	5799.840	6121.480
100075	1	5760.310	6058.410
100075	2	6358.990	6675.340
100075	3	3780.500	4094.360
100075	4	6247.950	6580.740
100075	5	4083.400	4454.760
100075	6	5595.710	5865.040
100075	7	3687.460	4008.390
100075	8	6005.810	6301.060
100075	9	4900.170	5121.730
100076	0	5817.040	6140.710
100076	1	5769.690	6097.930
100076	2	6360.850	6681.500
100076	3	3784.880	4104.590
100076	4	6250.830	6588.040
100076	5	4089.010	4479.540
100076	6	5607.380	5871.100
100076	7	3696.850	4037.300
100076	8	6005.360	6273.600
100076	9	4907.520	5173.850
100077	0	5807.500	6106.520
100077	1	5768.930	6078.430
100077	2	6362.100	6680.140
100077	3	3780.100	4106.370
100077	4	6246.460	6595.320
100077	5	4088.180	4487.480
100077	6	5605.600	5877.860
100077	7	3697.570	4027.650
100077	8	6003.110	6291.940
100077	9	4907.630	5135.790
100078	0	5809.430	6117.670
100078	1	5767.080	6088.930
100078	2	6364.670	6684.680
100078	3	3784.910	4112.330
100078	4	6253.410	6593.020
100078	5	4088.810	4470.380
100078	6	5617.660	5890.980
100078	7	3711.080	4027.130
100078	8	6009.820	6306.950
100078	9	4918.470	5225.470
100079	0	5795.380	6101.710
100079	1	5764.150	6088.630
100079	2	6360.250	6691.700
100079	3	3776.600	4081.520
100079	4	6244.620	6588.720
100079	5	4087.060	4471.430
100079	6	5607.450	5894.550
100079	7	3701.100	4021.610
100079	8	6003.260	6293.240
100079	9	4903.730	5164.140
100080	0	5809.530	6116.920
100080	1	5771.970	6087.770
100080	2	6363.100	6682.860
100080	3	3783.930	4101.450
100080	4	6253.020	6608.620
100080	5	4092.660	4513.340
100080	6	5616.640	5876.060
100080	7	3711.470	4031.010
100080	8	6006.020	6311.870
100080	9	4922.330	5218.710
100081	0	5800.750	6102.530
100081	1	5752.890	6061.880
100081	2	6346.760	6666.580
100081	3	3781.990	4068.800
100081	4	6242.380	6599.650
100081	5	4087.280	4506.110
100081	6	5601.230	5896.920
100081	7	3693.780	3999.760
100081	8	5999.590	6257.910
100081	9	4905.360	5097.870
100082	0	5811.880	6127.340
100082	1	5771.330	6088.530
100082	2	6363.610	6673.650
100082	3	3787.520	4096.160
100082	4	6242.840	6585.470
100082	5	4095.690	4466.680
100082	6	5612.010	5869.390
100082	7	3711.250	4038.210
100082	8	5999.500	6281.590
100082	9	4914.530	5211.270
100083	0	5804.440	6106.070
100083	1	5760.670	6071.340
100083	2	6355.570	6674.290
100083	3	3781.840	4120.230
100083	4	6239.910	6581.440
100083	5	4087.110	4455.450
100083	6	5597.750	5861.730
100083	7	3693.300	4016.400
100083	8	6000.460	6305.260
100083	9	4899.770	5105.170
100084	0	5810.000	6116.830
100084	1	5759.080	6078.760
100084	2	6357.290	6676.750
100084	3	3780.080	4081.900
100084	4	6241.710	6582.410
100084	5	4086.650	4489.780
100084	6	5603.440	5871.950
100084	7	3692.600	4005.430
100084	8	5994.970	6291.270
100084	9	4905.790	5163.640
100085	0	5873.310	6137.210
100085	1	5816.360	5946.850
100085	2	6412.960	6748.720
100085	3	3839.010	4491.570
100085	4	6303.700	6678.630
100085	5	4148.230	4711.620
100085	6	5661.650	6070.820
100085	7	3758.420	4066.460
100085	8	6055.360	6385.860
100085	9	4969.810	5294.440
100086	0	5803.170	6132.530
100086	1	5753.830	6063.750
100086	2	6351.060	6671.760
100086	3	3773.070	4109.840
100086	4	6234.800	6572.670
100086	5	4082.650	4460.730
100086	6	5589.300	5869.070
100086	7	3688.560	4006.570
100086	8	5987.660	6277.130
100086	9	4892.780	5177.770
100087	0	5811.610	6106.830
100087	1	5764.370	6076.010
100087	2	6355.920	6672.630
100087	3	3783.740	4103.580
100087	4	6244.170	6596.890
100087	5	4100.170	4482.780
100087	6	5605.940	5873.450
100087	7	3703.170	4025.500
100087	8	5998.130	6284.720
100087	9	4919.070	5047.120
100088	0	5795.490	6105.780
100088	1	5748.330	6061.620
100088	2	6343.470	6657.230
100088	3	3769.880	4077.040
100088	4	6238.710	6584.770
100088	5	4077.610	4457.790
100088	6	5595.370	5856.640
100088	7	3682.040	3998.320
100088	8	5990.970	6254.730
100088	9	4890.980	5158.620
100089	0	5821.020	6136.420
100089	1	5772.930	6092.610
100089	2	6367.090	6684.370
100089	3	3788.870	4092.410
100089	4	6253.760	6606.090
100089	5	4099.230	4525.400
100089	6	5622.490	5902.550
100089	7	3707.130	4025.120
100089	8	6000.630	6284.810
100089	9	4923.570	5123.980
100090	0	5792.280	6108.590
100090	1	5754.590	6074.860
100090	2	6348.540	6668.040
100090	3	3773.850	4074.280
100090	4	6234.830	6587.550
100090	5	4071.850	4474.950
100090	6	5589.370	5855.010
100090	7	3668.980	3979.550
100090	8	5990.000	6271.430
100090	9	4877.940	2070.490
100091	0	5822.410	6137.170
100091	1	5771.280	6089.790
100091	2	6367.260	6698.660
100091	3	3787.820	4093.930
100091	4	6244.600	6583.000
100091	5	4098.170	4470.640
100091	6	5612.770	5881.180
100091	7	3704.210	4019.840
100091	8	6002.250	6298.850
100091	9	4919.050	5200.430
100092	0	5800.050	6088.140
100092	1	5759.490	6068.020
100092	2	6354.630	6674.010
100092	3	3771.900	4077.710
100092	4	6237.830	6590.240
100092	5	4078.700	4457.970
100092	6	5594.280	5866.610
100092	7	3683.280	4000.630
100092	8	5993.210	6305.380
100092	9	4889.800	5171.190
100093	0	5807.490	6135.300
100093	1	5763.010	6084.340
100093	2	6355.200	6670.220
100093	3	3781.930	4094.240
100093	4	6243.260	6582.100
100093	5	4090.000	4494.430
100093	6	5600.310	5869.860
100093	7	3696.680	4009.150
100093	8	5997.000	6288.550
100093	9	4906.830	5183.760
100094	0	5810.930	6121.860
100094	1	5769.430	6096.350
100094	2	6360.280	6675.520
100094	3	3789.430	4103.370
100094	4	6250.520	6591.600
100094	5	4095.370	4460.180
100094	6	5609.130	5890.440
100094	7	3703.460	4018.330
100094	8	5995.450	6293.350
100094	9	4912.000	5155.520
100095	0	5815.960	6138.800
100095	1	5772.420	6105.620
100095	2	6366.810	6689.940
100095	3	3791.330	4115.940
100095	4	6258.040	6596.190
100095	5	4096.190	4498.220
100095	6	5613.900	5888.110
100095	7	3708.370	4025.570
100095	8	6002.810	6270.760
100095	9	4918.430	5216.370
100096	0	5809.430	6130.530
100096	1	5764.780	6087.710
100096	2	6365.080	6678.980
100096	3	3782.220	4106.250
100096	4	6251.290	6584.790
100096	5	4088.740	4486.500
100096	6	5600.550	5861.570
100096	7	3699.870	4014.850
100096	8	5998.930	6300.570
100096	9	4903.850	4949.730
100097	0	5823.360	6131.660
100097	1	5769.870	6088.730
100097	2	6363.020	6684.190
100097	3	3786.760	4101.010
100097	4	6254.970	6592.420
100097	5	4099.080	4524.770
100097	6	5612.730	5875.980
100097	7	3709.540	4036.730
100097	8	5998.870	6308.980
100097	9	4922.060	5211.590
100098	0	5801.740	6107.990
100098	1	5758.070	6093.190
100098	2	6355.340	6667.880
100098	3	3778.080	4094.720
100098	4	6244.330	6585.680
100098	5	4081.430	4468.750
100098	6	5600.890	5881.350
100098	7	3685.640	4003.870
100098	8	5992.770	6295.750
100098	9	4892.180	5056.540
100099	0	5786.920	6106.320
100099	1	5740.820	6037.850
100099	2	6337.560	6647.420
100099	3	3770.040	4075.640
100099	4	6236.440	6582.080
100099	5	4078.670	4462.700
100099	6	5588.840	5856.680
100099	7	3674.890	3993.740
100099	8	5991.880	6279.450
100099	9	4883.290	5078.410
100101	0	5807.440	6128.390
100101	1	5757.580	6071.390
100101	2	6346.490	6674.080
100101	3	3783.680	4089.060
100101	4	6240.300	6587.640
100101	5	4091.290	4470.890
100101	6	5604.900	5884.240
100101	7	3697.120	4024.390
100101	8	5999.780	6293.080
100101	9	4901.310	5184.640
100102	0	5790.940	6107.260
100102	1	5739.810	6055.990
100102	2	6342.300	6661.990
100102	3	3767.780	4065.520
